705,13,10,7
706,13,9,6
707,13,8,5
708,13,7,4
709,12,6,20
710,11,5,19
711,11,4,18
712,12,3,17
713,13,2,16
714,12,3,15
715,11,4,14
716,12,5,13
717,13,6,12
718,14,7,11
719,13,8,10
720,13,9,9
721,13,10,8
722,12,11,7
723,11,11,6
724,10,11,20
725,9,12,19
726,8,13,18
727,8,14,17
728,8,15,16
729,7,16,15
730,6,17,14
731,5,18,13
732,4,19,12
733,5,20,11
734,6,21,10
735,5,20,9
736,4,19,8
737,5,18,7
738,6,17,6
739,7,16,5
740,8,15,4
741,8,14,3
742,8,13,2
743,9,12,1
744,10,11,20
745,9,12,19
746,8,13,18
747,9,14,17
748,10,15,16
749,10,16,15
750,10,17,14
751,10,18,13
752,11,19,12
753,12,19,11
754,13,19,10
755,12,19,9
756,11,19,8
757,10,18,7
758,9,17,6
759,8,16,5
760,8,15,4
761,8,14,3
762,8,13,2
763,9,12,1
764,10,11,20
765,9,12,19
766,8,13,18
767,9,14,17
768,10,15,16
769,10,16,15
770,10,17,14
771,10,18,13
772,9,19,12
773,9,20,11
774,10,21,10
775,9,20,9
776,10,19,8
777,10,18,7
778,9,17,6
779,8,16,5
780,9,15,4
781,9,14,3
782,8,13,2
783,9,12,1
784,10,11,20
785,11,11,19
786,12,12,18
787,13,11,17
788,14,10,16
789,15,9,15
790,16,10,14
791,17,11,13
792,18,12,12
793,19,13,11
794,20,13,10
795,21,14,9
796,22,15,20
797,23,14,19
798,24,13,18
799,23,14,17
800,24,15,16
801,24,16,15
802,25,17,14
803,26,18,13
804,25,19,12
805,24,20,11
806,24,21,10
807,23,22,9
808,24,21,8
809,24,20,7
810,24,19,6
811,24,18,5
812,24,17,4
813,24,16,3
814,24,15,2
815,23,14,1
816,22,15,20
817,23,14,19
818,24,15,18
819,24,16,17
820,24,17,16
821,24,18,15
822,25,19,14
823,24,20,13
824,24,21,12
825,23,22,11
826,22,22,10
827,23,22,9
828,24,21,8
829,24,20,7
830,25,19,6
831,24,18,5
832,24,17,4
833,24,16,3
834,24,15,2
835,23,14,1
836,22,15,20
837,23,14,19
838,24,13,18
839,25,14,17
840,26,15,16
841,27,14,15
842,28,13,14
843,29,14,13
844,28,15,12
845,27,15,11
846,26,14,10
847,27,13,9
848,28,14,8
849,29,13,7
850,30,14,6
851,31,15,5
852,32,15,20
853,31,16,19
854,32,17,18
855,31,18,17
856,30,19,16
857,29,20,15
858,28,21,14
859,27,22,13
860,26,23,12
861,25,24,11
862,24,25,10
863,23,24,9
864,24,23,8
865,25,22,7
866,26,21,6
867,27,20,5
868,28,19,4
869,29,18,3
870,30,17,2
871,31,16,1
872,32,15,20
873,32,15,20
874,32,15,20
875,32,15,20
876,32,15,20
877,32,15,20
878,32,15,20
879,32,15,20
880,32,15,20
881,32,15,20
882,32,15,20
883,32,15,20
884,32,15,20
885,32,15,20
886,32,15,20
887,32,15,20
888,32,15,20
889,32,15,20
890,32,15,20
891,32,15,20
892,32,15,20
893,32,15,20
894,32,15,20
895,32,15,20
896,32,15,20
897,32,15,20
898,32,15,20
899,32,15,20
900,32,15,20
901,32,15,20
902,32,15,20
903,32,15,20
904,32,15,20
905,32,15,20
906,32,15,20
907,32,15,20
908,32,15,20
909,32,15,20
910,32,15,20
911,32,15,20
912,32,15,20
913,32,15,20
914,32,15,20
915,32,15,20
916,32,15,20
917,32,15,20
918,32,15,20
919,32,15,20
920,32,15,20
921,32,15,20
922,32,15,20
923,32,15,20
924,32,15,20
925,32,15,20
926,32,15,20
927,32,15,20
928,32,15,20
929,32,15,20
930,32,15,20
931,32,15,20
932,32,15,20
933,32,15,20
934,32,15,20
935,32,15,20
936,32,15,20
937,32,15,20
938,32,15,20
939,32,15,20
940,32,15,20
941,32,15,20
942,32,15,20
943,32,15,20
944,32,15,20
945,32,15,20
946,32,15,20
947,32,15,20
948,32,15,20
949,32,15,20
950,32,15,20
951,32,15,20
952,32,15,20
953,32,15,20
954,32,15,20
955,32,15,20
956,32,15,20
957,32,15,20
958,32,15,20
959,32,15,20
960,32,15,20
961,32,15,20
962,32,15,20
963,32,15,20
964,32,15,20
965,32,15,20
966,32,15,20
967,32,15,20
968,32,15,20
969,32,15,20
970,32,15,20
971,32,15,20
972,32,15,20
973,32,15,20
974,32,15,20
975,32,15,20
976,32,15,20
977,32,15,20
978,32,15,20
979,32,15,20
980,32,15,20
981,32,15,20
982,32,15,20
983,32,15,20
984,32,15,20
985,32,15,20
986,32,15,20
987,32,15,20
988,32,15,20
989,32,15,20
990,32,15,20
991,32,15,20
992,32,15,20
993,32,15,20
994,32,15,20
995,32,15,20
996,32,15,20
997,32,15,20
998,32,15,20
999,32,15,20
1000,32,15,20
1001,32,15,20
1002,32,15,20
1003,32,15,20
1004,32,15,20
1005,32,15,20
1006,32,15,20
1007,32,15,20
1008,32,15,20
1009,32,15,20
1010,32,15,20
1011,32,15,20
1012,32,15,20
1013,32,15,20
1014,32,15,20
1015,32,15,20
1016,32,15,20
1017,32,15,20
1018,32,15,20
1019,32,15,20
1020,32,15,20
1021,32,15,20
1022,32,15,20
1023,32,15,20
1024,32,15,20
1025,32,15,20
1026,32,15,20
1027,32,15,20
1028,32,15,20
1029,32,15,20
1030,32,15,20
1031,32,15,20
1032,32,15,20
1033,32,15,20
1034,32,15,20
1035,32,15,20
1036,32,15,20
1037,32,15,20
1038,32,15,20
1039,32,15,20
1040,32,15,20
1041,32,15,20
1042,32,15,20
1043,32,15,20
1044,32,15,20
1045,32,15,20
1046,32,15,20
1047,32,15,20
1048,32,15,20
1049,32,15,20
1050,32,15,20
1051,32,15,20
1052,32,15,20
1053,32,15,20
1054,32,15,20
1055,32,15,20
1056,32,15,20
1057,32,15,20
1058,32,15,20
1059,32,15,20
1060,32,15,20
1061,32,15,20
1062,32,15,20
1063,32,15,20
1064,32,15,20
1065,32,15,20
1066,32,15,20
1067,32,15,20
1068,32,15,20
1069,32,15,20
1070,32,15,20
1071,32,15,20
1072,32,15,20
1073,32,15,20
1074,32,15,20
1075,32,15,20
1076,32,15,20
1077,32,15,20
1078,32,15,20
1079,32,15,20
1080,32,15,20
1081,32,15,20
1082,32,15,20
1083,32,15,20
1084,32,15,20
1085,32,15,20
1086,32,15,20
1087,32,15,20
1088,32,15,20
1089,32,15,20
1090,32,15,20
1091,32,15,20
1092,32,15,20
1093,32,15,20
1094,32,15,20
1095,32,15,20
1096,32,15,20
1097,32,15,20
1098,32,15,20
1099,32,15,20
1100,32,15,20
1101,32,15,20
1102,32,15,20
1103,32,15,20
1104,32,15,20
1105,32,15,20
1106,32,15,20
1107,32,15,20
1108,32,15,20
1109,32,15,20
1110,32,15,20
1111,32,15,20
1112,32,15,20
1113,32,15,20
1114,32,15,20
1115,32,15,20
1116,32,15,20
1117,32,15,20
1118,32,15,20
1119,32,15,20
1120,32,15,20
1121,32,15,20
1122,32,15,20
1123,32,15,20
1124,32,15,20
1125,32,15,20
1126,32,15,20
1127,32,15,20
1128,32,15,20
1129,32,15,20
1130,32,15,20
1131,32,15,20
1132,32,15,20
1133,32,15,20
1134,32,15,20
1135,32,15,20
1136,32,15,20
1137,32,15,20
1138,32,15,20
1139,32,15,20
1140,32,15,20
1141,32,15,20
1142,32,15,20
1143,32,15,20
1144,32,15,20
1145,32,15,20
1146,32,15,20
1147,32,15,20
1148,32,15,20
1149,32,15,20
